name,uuid,external_item_id,display_name,description,category,gtin_14,mpn,photo_url_list,salt_id,source_divisions
Ferraro Foods - NCR - Division 2 (New Jersey),044fd4ed-46e7-4a99-8cda-aeb8d6e6796a,0000320,PRODUCE FIGS 24 CT REF,Brand: PACKER | Pack Size: 1 X CASE,PRODUCE,,,,0195cbb3-db08-7088-bb1f-ba023f531a0a,div2_nj
Ferraro Foods - NCR - Division 6 (Connecticut),d9e75143-1660-4713-9ca4-db43653a0286,0000321,PRODUCE RADISH CELLO RETAIL REF,Brand: PACKER | Pack Size: 30 X 6OZ.,PRODUCE,,50100,[],01952ffa-cdd1-7fe8-88f7-4cdd68a52ec5,"div2_nj, div5_md, div6_ct"
Ferraro Foods - NCR - Division 6 (Connecticut),ee3bb5bb-ea3c-4fb8-a686-79593ac252d1,0000334,PRODUCE LETTUCE BABY RED & GREEN LEAF REF,Brand: LITTLE LEAF | Pack Size: 2 X 1.5LB,PRODUCE,857394006077.0,LLFRG3LB,,01990be4-b2a3-7481-8b29-d08aab212e62,div6_ct
Ferraro Foods - NCR - Division 6 (Connecticut),fd648424-9677-4a1d-a209-0ba6694d94d1,0000335,PRODUCE LETTUCE BABY SPRING MIX REF,Brand: LITTLE LEAF | Pack Size: 2 X 1.5LB,PRODUCE,857394006012.0,LLFSP3LB,['https://s3.amazonaws.com/media.usepepper.com/suppliers/998c2140-ee60-4424-92d4-94e5bd3d13e5/items/4484dbd6-b2a4-41b2-88f9-f08fbfffcd64.png'],00000000-0000-0000-0000-000000000000,div6_ct
Ferraro Foods - NCR - Division 6 (Connecticut),409dce49-3b42-438b-b767-e1210042e4bd,0000403,PRODUCE ARTICHOKES 24 CT REF,Brand: PACKER | Pack Size: 1 X 24,PRODUCE,,26102,,0192a4ff-8dd3-7d38-85ab-aba4c6d4e473,"div2_nj, div6_ct"
Ferraro Foods - NCR - Division 14 (New York East),5735af9c-7b8d-448b-bfaf-86ca8cce323d,0000467,SPINACH 4-2.5LB SPECIAL,Brand: PACKER | Pack Size: 4 X 2.5LB,PRODUCE,,,,00000000-0000-0000-0000-000000000000,div14_ny_east
Ferraro Foods - NCR - Division 5 (Maryland),777660f3-705c-46db-902a-16dd925b3668,0000498,PRODUCE GARLIC SLEEVED 5 CT REF,Brand: PACKER | Pack Size: 1 X CASE,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/8e3e05fc-cab8-4a55-a3aa-21ac491d2ad9/items/e5fdc55a-a445-5b65-9eb0-f611564ac6af.jpg'],00000000-0000-0000-0000-000000000000,div5_md
Ferraro Foods - NCR - Division 2 (New Jersey),4ee4b708-96c4-4c10-8423-1499cdc6aedd,0000506,PRODUCE LETTUCE ROMAINE HEARTS REF,Brand: ANDY BOY | Pack Size: 7 X 6 CT,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/85534a73-9703-5942-bd4a-ab9c6e43ae6f.png'],019aeae5-fc8b-7de5-80d7-bcc07b36a4fe,"div14_ny_east, div2_nj, div6_ct"
Ferraro Foods - NCR - Division 3 (North Carolina),0dccfe5e-9549-42fd-a211-a014dea7d9ea,0000516,PRODUCE LETTUCE SPRING MIX MASTER REF,Brand: PACKER | Pack Size: 1 X 4/#3,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/78e69f85-c4d2-4021-aa37-a45a3451821c/items/ae03227a-9c46-5049-b764-e3f3050df777.png'],00000000-0000-0000-0000-000000000000,div3_nc
Ferraro Foods - NCR - Division 2 (New Jersey),1d003681-1359-4344-91de-ac0489062f7f,0000520,PRODUCE PEPPER JALAPENO BUSHEL REF,Brand: PACKER | Pack Size: 1 X 25 LB,PRODUCE,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/657cb263-7a58-5531-a75b-98a1d82c84df.jpg'],0192a4ff-9dd4-7b99-a00c-24f5a42f070e,"div2_nj, div3_nc"
