name,uuid,external_item_id,display_name,description,category,gtin_14,mpn,photo_url_list,salt_id,source_divisions
Ferraro Foods - NCR - Division 12 (Florida),7b686233-9610-4a31-999f-e4e5045f5484,2108511,CAKE SLICE TUXEDO BOMBS 5.1 OZ SINGLE SERVING FRZ,Brand: DAVID'S | Pack Size: 1 X 24CT,DESSERTS,10837793008015.0,564845,['https://s3.amazonaws.com/media.usepepper.com/suppliers/b2b18de1-5040-45fa-8803-bbe56cbd6d74/items/cb3eeae1-7d06-50ce-bd01-488f327407f6.jpg'],01990bed-176f-7a89-9f30-8012f9727c9f,div12_florida
Ferraro Foods - NCR - Division 5 (Maryland),60570bed-9b27-4453-b52a-ced0ef015891,6000189,PRINTER RIBBON EPSON BLACK/RED 30/34/38 ERC DRY,Brand: OLD GLORY | Pack Size: 1 X 6CT,NON-FOOD DISPOSABLES,,8853000,"['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/b64d0d11-7873-56ed-90bc-a0ffea6c215b.jpg', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/4dbce556-8409-5d9b-98b0-4c2b84141c1f.jpg']",00000000-0000-0000-0000-000000000000,"div14_ny_east, div2_nj, div3_nc, div5_md, div6_ct"
Ferraro Foods - NCR - Division 6 (Connecticut),58c562a6-862b-4b8f-85e7-e34fa71a24fd,9870421,CHICKEN WINGS MARINATED SECTIONS POPEYES FRZ,Brand: POPEYE | Pack Size: 4 X 10LB,MEATS,10782966586039.0,58603,['https://s3.amazonaws.com/media.usepepper.com/suppliers/998c2140-ee60-4424-92d4-94e5bd3d13e5/items/1de7fbec-c604-4e78-ad81-23c5092e1c9a.png'],00000000-0000-0000-0000-000000000000,"div14_ny_east, div6_ct"
Ferraro Foods - NCR - Division 14 (New York East),580eb6aa-8d4c-4d71-82bf-0fd7fee16b50,2108818,MEATBALLS BEEF & PORK 1/2 OZ FRZ,Brand: PACKER | Pack Size: 1 X 10#,MEATS,,GENBBP005,['https://s3.amazonaws.com/media.usepepper.com/suppliers/b56a09d3-3926-4d2e-9190-0e7a97a73afe/items/7014d2b0-4a62-5634-83a9-6f0a5337b57f.png'],00000000-0000-0000-0000-000000000000,div14_ny_east
Ferraro Foods - NCR - Division 14 (New York East),66c45a73-852e-496d-ae63-04d80e9090be,7600724,WAX PAPER NATURAL GREASE RESISTANT 12 X 12 DISPOSABLE DRY,Brand: BAGCRAFT | Pack Size: 1 X 2000CT,NON-FOOD DISPOSABLES,,NAN,['https://s3.amazonaws.com/media.usepepper.com/suppliers/b56a09d3-3926-4d2e-9190-0e7a97a73afe/items/c46fcf40-14c6-4a17-98ad-06861b5b4417.png'],00000000-0000-0000-0000-000000000000,div14_ny_east
Ferraro Foods - NCR - Division 3 (North Carolina),b1af618f-97e2-453d-89f8-f2320ee3a93e,4400164,GELATO BELGIAN DARK CHOCOLATE 5 LITER FRZ,Brand: DOLCE VILLA | Pack Size: 1 X 5 LTR,DESSERTS,16520603288175.0,716663,[],01989f9d-c41d-7537-a36c-3446807c1d52,div3_nc
Ferraro Foods - NCR - Division 2 (New Jersey),e818b074-b75a-4fde-a6d8-4295f7ecb130,3006002,OCTOPUS WHOLE VACK PACK 1-2 LB FULLY COOKED FRZ,Brand: PANA PESCA | Pack Size: 1 X 20 LB,SEAFOOD,20614583613409.0,1340,,01988aad-67cc-7a66-a6d3-81494c2a1f52,div2_nj
Ferraro Foods - NCR - Division 5 (Maryland),fa45d68c-02d0-4363-90ac-fbb2bf641bfb,7800367,WAX PAPER WRAPS 15X15 DISPOSABLE DRY,Brand: BAGCRAFT | Pack Size: 1 X 2000 CT,NON-FOOD DISPOSABLES,10072181752075.0,475207,['https://s3.amazonaws.com/media.usepepper.com/suppliers/8e3e05fc-cab8-4a55-a3aa-21ac491d2ad9/items/01c00a2c-591a-50c1-8e1c-898ae6b40e84.jpg'],00000000-0000-0000-0000-000000000000,div5_md
Ferraro Foods - NCR - Division 6 (Connecticut),7eb0522b-f068-4296-8c75-b308a93905ef,9870425,SHRIMP 26-30 CT BUTTER ROUND CL POPEYES FRZ,Brand: POPEYE | Pack Size: 10 X 2.5LB,SEAFOOD,20675258587531.0,97382,,00000000-0000-0000-0000-000000000000,"div14_ny_east, div6_ct"
Ferraro Foods - NCR - Division 2 (New Jersey),8a3c23c1-8520-43f4-be72-5a7e8ddbaf70,8001250,GLOVES SYNTHETIC SMALL POWDER FREE VERIFIT DRY,Brand: ELARA | Pack Size: 10 X 100 CT,OTHER,20847212000145.0,FS201,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/f0d7e3a8-c797-5e68-ae0c-952216f18f89.jpg'],0192249b-fc38-7891-8804-70cdb9e641b1,div2_nj
Ferraro Foods - NCR - Division 2 (New Jersey),954bec64-6c2b-4e12-a3fc-250e180e60a2,3100056,JIT SEABASS FILET BLACK DOMESTIC 7-9 OZ REF,"Brand: PACKER | Pack Size: 1 X 10#
Special Order Item - Contact Your Sales Rep for Availability",SEAFOOD,,,['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/b433b3d5-e7c2-5f4d-8d84-f343c326707f.png'],0192a4ff-9294-7110-a6f1-3417c329e8be,"div14_ny_east, div2_nj"
Ferraro Foods - NCR - Division 14 (New York East),33a92995-e4bc-4d80-8721-54e3e2c95447,7600911,DRY,Brand: PACKER | Pack Size: 1 X 50CT,NON-FOOD DISPOSABLES,,77,['https://s3.amazonaws.com/media.usepepper.com/suppliers/b56a09d3-3926-4d2e-9190-0e7a97a73afe/items/9a2963e0-6afc-5631-b0e5-b94f01ba0ad0.jpg'],00000000-0000-0000-0000-000000000000,div14_ny_east
Ferraro Foods - NCR - Division 6 (Connecticut),21edd8cb-7496-4c29-a8f2-6b54b3ca9d90,6500025,"PIZZA STACKS PLASTIC TOPPERS 2"" TALL DRY",Brand: PACKER | Pack Size: 1 X 1000 CT,NON-FOOD DISPOSABLES,,RPS1MT,"['https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/cf81de64-7838-5a5c-bfb4-2460759de26a.png', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/7bd9cee5-a0ca-562b-bdc0-45b3b39d02ed.png', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/76b30888-0a47-57f7-847b-90a35ed2e893.png', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/8a24aad7-f3e4-5276-908c-c8fe61b29889.png', 'https://s3.amazonaws.com/media.usepepper.com/suppliers/91d5342e-e70b-458b-a74b-2109a243a336/items/a08f37d9-2df6-5113-87fe-8da7f6b9c216.png']",00000000-0000-0000-0000-000000000000,"div14_ny_east, div2_nj, div5_md, div6_ct"
Ferraro Foods - NCR - Division 3 (North Carolina),6012ca20-2d6a-4aed-8804-74ebcbe4f2dc,4400906,CAKE LEMON ICED YOGURT LOAF FRZ,Brand: HARVEST BAKERY | Pack Size: 12 X LOAF,DESSERTS,18197330003135.0,WYOG/005,['https://s3.amazonaws.com/media.usepepper.com/suppliers/78e69f85-c4d2-4021-aa37-a45a3451821c/items/159dd511-1ba7-4859-9713-46bd929ee595.png'],00000000-0000-0000-0000-000000000000,div3_nc
Ferraro Foods - NCR - Division 6 (Connecticut),11113266-5271-45c6-a791-13ad71811d80,1000025,PASTA SAUCE SPAGHETTI CANNED DRY,Brand: DON PEPINO | Pack Size: 6 X #10CN,TOMATOES,20030271010082.0,61801008,,0198a65c-eb2c-713f-8b96-8d8f84e6fbca,"div14_ny_east, div2_nj, div5_md, div6_ct"
