Level I,Level II,Level III
Beef,"Steaks, Thin Meats, Frozen","Ribs Portioned, Raw, Frozen"
Beef,"Steaks, Thin Meats, Frozen","Steak, Skirt, Frozen"
Beef,"Steaks, Thin Meats, Refrigerated","Flank Steak, Portioned, Refrigerated"
Beef,"Steaks, Thin Meats, Refrigerated","Ribs Portioned, Raw, Refrigerated"
Beef,"Steaks, Thin Meats, Refrigerated","Steak, Skirt, Refrigerated"
Beverage,"Soda, Ready To Drink & Fountain Syrup","Soda, Carbonated Ready To Drink"
Beverage,"Soda, Ready To Drink & Fountain Syrup","Syrup, Fountain"
Beverage,"Cocoa, Hot","Cocoa Mix, Bulk"
Beverage,"Cocoa, Hot","Cocoa Mix, Single Service"
Beverage,Coffee,"Cappuccino, Powder Or Liquid Concentrate"
Beverage,Coffee,Beans Roasted Caffeinated
Beverage,Coffee,Beans Roasted Decaffeinated
Beverage,Coffee,"Iced, Canned And Bottled"
Beverage,Coffee,"Instant, Caffeinated"
Beverage,Coffee,"Instant, Decaffeinated"
Beverage,Coffee,"Liquid Concentrate Caffeinated, Frozen"
Beverage,Coffee,"Liquid Concentrate, Decaffeinated, Frozen"
Beverage,Coffee,"Liquid Concentrate, Refrigerated"
Beverage,Coffee,"Liquid Concentrate, Shelf Stable"
Beverage,Coffee,Roast And Ground Caffeinated
Beverage,Coffee,Roast And Ground Decaffeinated
Beverage,Juice Bases And Concentrates,Frozen (Dispenser)
Beverage,Juice Bases And Concentrates,Frozen (Manual Mix)
Beverage,Juice Bases And Concentrates,"Orange, Frozen (Dispensers)"
Beverage,Juice Bases And Concentrates,"Orange, Frozen (Manual Mix)"
Beverage,Juice Bases And Concentrates,"Orange, Refrigerated (Dispenser)"
Beverage,Juice Bases And Concentrates,"Orange, Refrigerated (Manual Mix)"
Beverage,Juice Bases And Concentrates,"Orange, Shelf Stable (Dispenser)"
Beverage,Juice Bases And Concentrates,"Orange, Shelf Stable (Manual Mix)"
Beverage,Juice Bases And Concentrates,Refrigerated (Dispenser)
Beverage,Juice Bases And Concentrates,Refrigerated (Manual Mix)
Beverage,Juice Bases And Concentrates,Shelf Stable (Dispenser)
Beverage,Juice Bases And Concentrates,Shelf Stable (Manual Mix)
Beverage,"Juice, Bulk",Frozen
Beverage,"Juice, Bulk","Orange, Frozen"
Beverage,"Juice, Bulk","Orange, Frozen (Dispenser)"
Beverage,"Juice, Bulk","Orange, Refrigerated"
Beverage,"Juice, Bulk","Orange, Refrigerated (Dispenser)"
Beverage,"Juice, Bulk","Orange, Shelf Stable"
Beverage,"Juice, Bulk","Orange, Shelf Stable (Dispenser)"
Beverage,"Juice, Bulk",Refrigerated
Beverage,"Juice, Bulk",Refrigerated (Dispenser)
Beverage,"Juice, Bulk",Shelf Stable
Beverage,"Juice, Bulk",Shelf Stable (Dispenser)
Beverage,"Juice, Single Service",Frozen
Beverage,"Juice, Single Service","Orange, Frozen"
Beverage,"Juice, Single Service","Orange, Refrigerated"
Beverage,"Juice, Single Service","Orange, Shelf Stable"
Beverage,"Juice, Single Service",Refrigerated
Beverage,"Juice, Single Service",Shelf Stable
Beverage,"Juice, Single Service","Sparkling, Single Service, Orange, Shelf Stable"
Beverage,"Juice, Single Service","Sparkling, Single Service, Shelf Stable"
Beverage,Juice,"Lemon Juice, Frozen"
Beverage,Juice,"Lemon Juice, Refrigerated"
Beverage,Juice,"Lemon Juice, Shelf Stable"
Beverage,Juice,"Lime Juice, Frozen"
Beverage,Juice,"Lime Juice, Refrigerated"
Beverage,Juice,"Lime Juice, Shelf Stable"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Bag Ice, Bulk, Frozen"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Beverages, Thickened"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other",Cocktail Mixes (Frozen)
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Cocktail Mixes, Refrigerated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Cocktail Mixes, Shelf Stable"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drink Bases & Concentrates, Refrigerated (Manual Mix)"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drink Bases And Concentrates, Frozen (Dispenser)"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drink Bases And Concentrates, Frozen (Manual Mix)"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drink Bases And Concentrates, Refrigerated (Dispenser)"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drink Bases And Concentrates, Shelf Stable (Dispenser)"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drink Bases And Concentrates, Shelf Stable (Manual Mix)"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drink Mix, Powdered"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drink, Instant Breakfast"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drinks, Bulk, Single Strength, Refrigerated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drinks, Bulk, Single Strength, Refrigerated (Dispenser)"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drinks, Bulk, Single Strength, Shelf Stable"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drinks, Bulk, Single Strength, Shelf Stable (Dispenser)"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drinks, Single Service, Frozen"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drinks, Single Service, Refrigerated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drinks, Single Service, Shelf Stable"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drinks, Sparkling, Single Service, Shelf Stable"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drinks, Yogurt, Frozen"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Drinks, Yogurt, Refrigerated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Eggnog Mix, Dry"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Eggnog, Refrigerated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Malt And Milkshake Mixes, Dairy, Frozen"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Malt And Milkshake Mixes, Dairy, Refrigerated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Malt And Milkshake Mixes, Dairy, Shelf Stable"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Malt And Milkshake Mixes, Non-Dairy"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Smoothies & Smoothie Base, Dairy, Frozen"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Smoothies & Smoothie Base, Dairy, Refrigerated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Smoothies & Smoothie Base, Dairy, Shelf Stable"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Smoothies & Smoothie Base, Non-Dairy, Frozen"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Smoothies & Smoothie Base, Non-Dairy, Refrigerated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Smoothies & Smoothie Base, Non-Dairy, Shelf Stable"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Soda, Syrup, Refrigerated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Soda, Syrup, Shelf Stable"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Syrup, Flavored, Italian Style & Drink Flavorings"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Water, Bottled, Flavored Non-Carbonated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Water, Bottled, Flavored Sparkling"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Water, Bottled, Unflavored, Non-Carbonated"
Beverage,"Drinks/ Drink Bases/Drink Mixes, Other","Water, Bottled, Unflavored, Sparkling"
Beverage,Tea,"Bags, Hot"
Beverage,Tea,"Bags, Iced"
Beverage,Tea,Bases And Concentrates Aseptic
Beverage,Tea,Bib (Bag In Box)
Beverage,Tea,"Bulk, Ready To Drink, Refrigerated"
Beverage,Tea,"Bulk, Ready To Drink, Shelf Stable"
Beverage,Tea,Instant
Beverage,Tea,Loose
Beverage,Tea,"Single Service, Ready To Drink, Refrigerated"
Beverage,Tea,"Single Service, Ready To Drink, Shelf Stable"
Beverage,Alcohol,Alcohol
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Apples, Canned"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned",Applesauce
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Apricots, Canned"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Cherries, Canned (Not Maraschino)"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Cherries, Maraschino"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Cranberry Sauce, Canned"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Fruit Purees, Canned (Not Baby Food)"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Fruit, Other, Canned"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Fruits, Mixed, Canned"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Oranges, Canned"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Peaches, Canned"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Pears, Canned"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Pineapple, Canned"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Plums, Canned"
"Fruits & Vegetables, Canned & Dried","Fruits, Canned","Prunes, Canned"
"Fruits & Vegetables, Canned & Dried","Tomatoes, Canned","Tomato Paste, Canned"
"Fruits & Vegetables, Canned & Dried","Tomatoes, Canned","Tomato Puree, Canned"
"Fruits & Vegetables, Canned & Dried","Tomatoes, Canned","Tomato Sauce, Canned"
"Fruits & Vegetables, Canned & Dried","Tomatoes, Canned","Tomatoes, Canned, Crushed & Ground"
"Fruits & Vegetables, Canned & Dried","Tomatoes, Canned","Tomatoes, Canned, Diced & Sliced"
"Fruits & Vegetables, Canned & Dried","Tomatoes, Canned","Tomatoes, Canned, Whole"
"Fruits & Vegetables, Canned & Dried",Dried,"Apples, Dried"
"Fruits & Vegetables, Canned & Dried",Dried,"Apricots, Dried"
"Fruits & Vegetables, Canned & Dried",Dried,"Beans, Black, Dry"
"Fruits & Vegetables, Canned & Dried",Dried,"Beans, Great Northern, Dry"
"Fruits & Vegetables, Canned & Dried",Dried,"Beans, Kidney, Dry"
"Fruits & Vegetables, Canned & Dried",Dried,"Beans, Navy, Dry"
"Fruits & Vegetables, Canned & Dried",Dried,"Beans, Other, Dry"
"Fruits & Vegetables, Canned & Dried",Dried,"Beans, Pinto, Dry"
"Fruits & Vegetables, Canned & Dried",Dried,"Beans, Refrigeratedried, Dehydrated"
"Fruits & Vegetables, Canned & Dried",Dried,"Coconut Products, Dried"
"Fruits & Vegetables, Canned & Dried",Dried,"Cranberries, Dried"
"Fruits & Vegetables, Canned & Dried",Dried,"Fruit, Other, Dried"
"Fruits & Vegetables, Canned & Dried",Dried,"Lentils, Dry"
"Fruits & Vegetables, Canned & Dried",Dried,"Mushrooms, Dried"
"Fruits & Vegetables, Canned & Dried",Dried,"Peas, Black-Eyed, Dry"
"Fruits & Vegetables, Canned & Dried",Dried,"Peas, Green, Dry"
"Fruits & Vegetables, Canned & Dried",Dried,"Peppers, Chili, Dried"
"Fruits & Vegetables, Canned & Dried",Dried,"Prunes, Dried"
"Fruits & Vegetables, Canned & Dried",Dried,Raisins
"Fruits & Vegetables, Canned & Dried",Dried,"Tomatoes, Dry"
"Fruits & Vegetables, Canned & Dried",Dried,"Vegetables, Other, Dry"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Artichokes, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Asparagus, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Bamboo Shoots, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Bean Salad, Shelf Stable"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Baked, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Black, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Chili, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Garbanzo, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Great Northern, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Green, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Kidney, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Lima, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Navy, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Pinto, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Pork &, Canned"
"Fruits & Vegetables, Canned & Dried","Vegetables, Canned","Beans, Refrigeratedried, Canned"
